candidate_id,candidate_name,canonical_product_family,company,region,product_surfaces,agentic_level,phase1_class,phase1_evidence_grade,phase1_key_rationale,phase3_selection_status,phase3_selection_position,phase3_market_adoption_score,phase3_capability_score,phase3_workflow_innovation_score,phase3_ecosystem_score,phase3_momentum_score,phase3_composite_score,phase3_research_judgment,phase3_selection_rationale,current_evidence_grade,current_confidence,as_of_date,source_refs,phase_refs,notes
CAND-011,Cline,Cline,Cline,Global,"IDE, CLI, headless",Agentic Coding / Software Engineering Agent,Core,A,"Open-source autonomous coding agent extended into SDK, IDE extension and CLI/headless with a large GitHub community",Near-miss,,3.0,4.0,4.0,4.0,4.0,3.70,OSS agent ecosystem is important but overlaps with OpenCode and OpenHands on representative value,Not selected: important in the open-source ecosystem but overlaps with OpenCode and OpenHands for representative seats. What it lacks: a more differentiated workflow or market signal. Phase 3 11 records no separate 'what could move it' statement for Cline,A,Medium-High,2026-08-31,S097,P1;P2;P3,Phase 1 4.1 #11. Phase 2 12.1 overall evidence grade recorded as A/B; canonical grade retained as Phase 1 A per rule R2
CAND-012,Qoder,Qoder,Alibaba Cloud / Qoder,Global + China,"IDE, CLI, Mobile, Cloud Agents, JetBrains",Software Engineering Agent / Autonomous,Core,A,"Global Qoder and China Qoder CN researched as one family; Qoder CN continues the former Tongyi Lingma line and completed the name migration in 2026; covers IDE, CLI, Cloud Agent and enterprise",Selected,9,3.5,4.5,5.0,4.5,5.0,4.35,"One of the few China-market families covering IDE, CLI, Cloud Agent and memory/skills/MCP in one product family","The most complete China-market global-facing agent product family in the final Top 10, covering IDE, CLI and Cloud Agents and showing the evolution from AI IDE to agent platform. Caveat: 6M+ users and 100K+ businesses are mainly vendor claims and China lacks a unified independent adoption denominator",A,Medium,2026-08-31,S074;S075;S076;S077;S078;S079;S080;S081;S082,P1;P2;P3,"Phase 1 4.1 #12. Phase 2 12.1 overall evidence grade recorded as A/B; canonical grade retained as Phase 1 A per rule R2. Tongyi Lingma merged into this family as Qoder CN, renamed 2026-05-20"
CAND-013,TRAE,TRAE,ByteDance,Global + China,"IDE, Desktop, Web, Mobile, CLI/workspace ecosystem",Agentic Coding / Autonomous,Core,B,"TRAE extended from a pure IDE into SOLO/Work; official materials stress complex coding tasks, multi-agent and an agent ecosystem",Near-miss,,3.5,4.5,4.5,4.5,4.5,4.20,Strong representative of the China/global AI IDE to agent workspace route but slightly weaker than Factory in the final seat contest,"Not selected: strong product route and China significance, but the workflow space overlaps substantially with Cursor, Qoder and Antigravity and independent adoption evidence remains insufficient. What it lacks: stronger independent global adoption evidence or clearer workflow differentiation. What could move it into the Top 10: significant global adoption of TRAE Work / agent workspace, or reliable independent market evidence",B,Medium,2026-08-31,S098;S099;S100,P1;P2;P3,Phase 1 4.1 #13. Phase 2 12.1 overall evidence grade B. Phase 2 cites hundreds of thousands of developers while Phase 3 cites 6M registered users and about 60M sessions at end-2025; the two metrics are not merged (hazard H-22)
CAND-014,Tencent CodeBuddy,Tencent CodeBuddy,Tencent,China + Global-facing,"IDE/Web, CLI, Cloud Agent",Software Engineering Agent / Autonomous,Core,B,"Has CLI agents, child agents, MCP, web/terminal workflow and a CloudAgent with persistent sandbox; high China-market representativeness",Near-miss,,2.5,4.0,4.5,4.5,4.5,3.75,Important China enterprise/cloud agent representative but lacks a unified independent market denominator,"Not selected: important representative of the China enterprise coding agent, but lacks a unified independent market denominator. What it lacks: comparable independent adoption evidence. Phase 3 11 records no separate 'what could move it' statement for Tencent CodeBuddy",B,Medium,2026-08-31,S101;S102,P1;P2;P3,Phase 1 4.1 #14. Phase 2 12.1 overall evidence grade B
CAND-015,JetBrains AI / Junie,JetBrains AI / Junie,JetBrains,Global,"IDE, Terminal",Agentic Coding / Software Engineering Agent,Core,A,JetBrains AI and Junie treated as one main product family; by 2026 Junie left beta and covers a full IDE plus terminal agent workflow; the JetBrains survey also treats both as an important IDE AI adoption signal,Near-miss,,3.5,4.0,4.0,5.0,4.0,3.95,The enterprise IDE-native agent route is important but capability/workflow differentiation was not sufficient for a final seat,"Not selected: the enterprise IDE-native agent route is important and has a combined ~9% JetBrains survey signal, but capability and workflow differentiation were not sufficient to break into the final seats. What it lacks: stronger autonomous agent differentiation or independent market significance. What could move it into the Top 10: Junie's long-running / agent-native workflow becoming clearly leading inside the JetBrains installed base, plus clearer agent-specific adoption evidence",A,High,2026-08-31,S001;S103;S104;S105,P1;P2;P3,Phase 1 4.1 #15. Phase 2 12.1 overall evidence grade A. The ~9% figure is a COMBINED product-family signal with user overlap
CAND-016,Kimi Code,Kimi Code,Moonshot AI,China + Global-facing,"CLI, IDE",Software Engineering Agent,Core,B,"Terminal plus IDE agent product supporting multi-step planning, execution, subagents, web search and file modification; iterating rapidly through 2026",Near-miss,,2.5,4.0,4.5,4.0,5.0,3.75,"Fast-growing representative of the China model-native CLI/IDE agent, still short of sufficient market evidence","Not selected: fast-growing and technologically important, but current product-specific adoption evidence is insufficient. What it lacks: product-specific adoption evidence. Phase 3 11 records no separate 'what could move it' statement for Kimi Code",B,Medium,2026-08-31,S106;S107;S108,P1;P2;P3,Phase 1 4.1 #16. Phase 2 12.1 overall evidence grade B
CAND-017,Amazon Q Developer,Kiro,AWS,Global,"IDE, CLI, Cloud",Agentic Coding / Software Engineering Agent,Core,B,"Has IDE plus CLI agentic coding, but AWS is directing users to Kiro and some IDE plugin lifecycles are fixed; retained as Core but tracked as a migration case",Excluded,,,,,,,,Not scored in Phase 3; excluded from the modern independent ranking population as a migration lineage into Kiro,"Excluded from the modern independent ranking population by Phase 3 7.4: AWS has rebranded Amazon Q Developer CLI to Kiro and announced end of support for Q Developer IDE plugins on 2027-04-30. Retained as legacy/transition evidence, not as a standalone modern product family. Phase 1 4.1 class remains Core",B,High,2026-08-31,S089;S090;S094,P1;P2;P3,Phase 1 4.1 #17. Phase 1 snapshot 2026-08-30; family/state corrected at Phase 2 13.4 and Phase 3 2.2/7.4 (2026-08-31) per rule R6. Phase 2 11 confidence recorded verbatim as 'High on status; low as standalone future candidate'; the canonical value records the status-assessment confidence only
CAND-018,Jules,Jules,Google,Global,Cloud / GitHub,Autonomous Software Engineering Agent,Secondary,B,"Asynchronous cloud coding agent representing another Google cloud-first SWE route; overlaps with Antigravity in ecosystem/product terms, and the long-term product relationship needs Phase 2 verification",Boundary,,2.0,4.5,4.5,4.5,4.5,3.70,"Important, but the overlap with the Antigravity Google agent family reduces the need for separate Top 10 representation","Boundary / Reserve: important, but overlap with the Antigravity Google agent family reduces the necessity of independent Top 10 representation. The Phase 3 3.1 label is the compound 'Boundary / Reserve'; the canonical vocabulary value is Boundary per rule R1 (hazard H-09)",B,Unknown,2026-08-31,,P1;P3,"Phase 1 4.2 #18. No external source cited in Phase 1. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded. Phase 3 3.1 prints composite 3.70 while the stated weights compute 3.75; the printed value is preserved and flagged (hazard H-02)"
CAND-019,Mistral Vibe,Mistral Vibe,Mistral AI,Global,"CLI, Desktop/workspace",Agentic Coding / General Agent hybrid,Secondary,B,"Terminal-native coding agent with subagents, skills and Code/Work modes; Work Mode makes the product boundary broader than a pure coding agent",Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,B,Unknown,2026-08-31,S109,P1,"Phase 1 4.2 #19. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-020,Qwen Code,Qwen Code,Alibaba / Qwen,Global + China,CLI,Software Engineering Agent,Secondary,B,Open-source CLI agent with an active ecosystem; the product boundary differs from Qoder; represents the model-company-driven CLI agent route,Near-miss,,2.0,4.0,4.5,4.0,4.5,3.55,Important model-native OSS CLI route but current market significance is insufficient to challenge the Top 10,"Not selected: an important model-native open-source CLI agent, but current market significance is not yet sufficient to challenge the Top 10. What it lacks: market significance. Phase 3 11 records no separate 'what could move it' statement for Qwen Code",B,Unknown,2026-08-31,S110,P1;P3,"Phase 1 4.2 #20. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-021,Goose,Goose,Block / Linux Foundation ecosystem,Global,"Desktop, CLI, API",General-purpose Agent with strong coding use,Secondary,B,Open-source desktop plus CLI agent usable for code and workflows; placed in Secondary because the positioning is not coding-only,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,B,Unknown,2026-08-31,S111,P1,"Phase 1 4.2 #21. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-022,Aider,Aider,Aider,Global,CLI,Agentic Coding,Secondary,C,Classic terminal coding agent with long-standing ecosystem and influence; 2026 market momentum is limited relative to Core products,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,C,Unknown,2026-08-31,,P1,"Phase 1 4.2 #22. No external source cited in Phase 1. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-023,SWE-agent,SWE-agent,Princeton / community,Global,CLI / OSS,Software Engineering Agent,Secondary,B,Important open-source representative of the SWE-bench / GitHub issue auto-repair route; high research value but limited commercial/market scale,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,B,Unknown,2026-08-31,S112,P1,"Phase 1 4.2 #23. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-024,mini-SWE-agent,mini-SWE-agent,OSS research community,Global,CLI / OSS,Software Engineering Agent,Secondary,B,Minimal agent harness with strong SWE-bench influence; suited to studying agent architecture rather than market scale,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,B,Unknown,2026-08-31,S112,P1,"Phase 1 4.2 #24. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-025,Kilo Code,Kilo Code,Kilo Code,Global,IDE / CLI ecosystem,Agentic Coding,Secondary,C,Community-driven open-source coding agent active in the agent ecosystem; the independent current surface needs Phase 2 verification with primary sources,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,C,Unknown,2026-08-31,S117;S118,P1,"Phase 1 4.2 #25. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-026,Warp,Warp,Warp,Global,"Terminal, Desktop, Cloud agents",Agentic Coding / Dev workspace,Secondary,C,Terminal-first workflow combining agents with the developer environment; represents the agentic terminal/workspace route,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,C,Unknown,2026-08-31,S117;S118,P1,"Phase 1 4.2 #26. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-027,Continue,Continue,Continue,Global,IDE / Agent tooling,Agentic Coding / Open-source,Secondary,C,Important open-source coding agent / developer AI tooling ecosystem project; product shape and independent surface changed quickly in 2026 and need verification,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,C,Unknown,2026-08-31,S117;S118,P1,"Phase 1 4.2 #27. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-028,Amp,Amp,Sourcegraph,Global,CLI / IDE ecosystem,Agentic Coding,Secondary,C,Coding agent route inside the Sourcegraph ecosystem; suited to studying enterprise developer-agent workflows,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md. Phase 2 13.8 keeps Amp as a high-priority Secondary candidate pending stronger comparable adoption evidence,C,Unknown,2026-08-31,S117;S118;S120,P1,"Phase 1 4.2 #28. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-029,Augment Code,Augment Code,Augment,Global,IDE / Agent,Software Engineering Agent,Secondary,C,Emphasises large-codebase context/reasoning and enterprise coding; market data is insufficient but the technology route is representative,Near-miss,,2.5,5.0,4.5,4.0,4.5,4.00,Large-codebase context/reasoning route is strong but market evidence is insufficient to outrank the Top 10 boundary,"Not selected: the large-codebase context/reasoning route is strong, but independent market evidence is insufficient. What it lacks: verifiability of market significance. What could move it into the Top 10: materially stronger enterprise adoption and independent market evidence. Note: Phase 3 scores capability at 5.0 although no Phase 4 product dossier exists for this candidate (hazard H-20)",C,Unknown,2026-08-31,S117;S118;S120,P1;P3,"Phase 1 4.2 #29. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-030,Factory,Factory,Factory AI,Global,Cloud / IDE / CLI ecosystem,Autonomous Software Engineering Agent,Secondary,C,The Droids / autonomous workflow route is representative in the enterprise SWE agent market; independent surface and adoption needed further Phase 2 verification,Selected,10,2.5,5.0,5.0,4.5,5.0,4.20,The enterprise autonomous SWE / Droids route has strong workflow significance and deserves representation despite insufficient independent adoption,"Selected despite the lowest composite among the ten: the autonomous enterprise SWE / Droids workflow is an independent paradigm, enterprise positioning does not fully overlap with Copilot or Devin, and excluding it would leave the Top 10 over-concentrated on consumer/IDE/CLI products. Divergence: the composite score is not the highest; selection rests on representative workflow value plus enterprise strategic significance. Caveat: independent market adoption evidence is insufficient and this is one of the clearest Research Judgment overrides",C,Unknown,2026-08-31,S083;S084;S085;S086;S087;S088,P1;P3,"Phase 1 4.2 #30. Phase 1 class is Secondary and Phase 1 evidence grade is C; promoted to the locked Top 10 by the Phase 3 8.1 research judgment. Phase 2 13.8 records the promotion signal but assigns no Phase 2 4.1 market-matrix row, so current_confidence is Unknown here; products.csv uses the Phase 6 4.1 cross-product confidence instead"
CAND-031,Poolside,Poolside,Poolside,Global,Cloud / Agent platform,Autonomous Software Engineering Agent,Secondary,C,Represents the enterprise/autonomous coding agent combined with model/agent infrastructure; public adoption data is limited,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md. Phase 2 13.8 keeps Poolside as a high-priority Secondary candidate pending stronger comparable adoption evidence,C,Unknown,2026-08-31,S117;S118;S120,P1,"Phase 1 4.2 #31. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-032,Zed AI,Zed AI,Zed Industries,Global,AI-native IDE,Agentic Coding,Secondary,C,Independent high-performance IDE plus agents; represents the editor-reconstruction/open-source route; Zed IDE must be distinguished from the agent itself,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,C,Unknown,2026-08-31,S117;S118,P1,"Phase 1 4.2 #32. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-033,Bolt.new,Bolt.new,StackBlitz,Global,Web / Cloud,Autonomous Product-building Agent,Secondary,C,In-browser end-to-end generation/modification/deployment from natural language; app-builder leaning but with clear overlap with agentic SWE workflows,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md. Phase 3 11 retains Bolt.new in the App Builder / adjacent category rather than the main Top 10 population,C,Unknown,2026-08-31,,P1;P3,"Phase 1 4.2 #33. No external source cited in Phase 1. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-034,v0,v0,Vercel,Global,Web / Cloud,Autonomous Product-building Agent,Secondary,C,"Agentic workflow from natural language to UI / full-stack app; more web product builder, retained as a boundary candidate",Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md. Phase 3 11 retains v0 in the App Builder / adjacent category rather than the main Top 10 population,C,Unknown,2026-08-31,,P1;P3,"Phase 1 4.2 #34. No external source cited in Phase 1. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-035,CodeRabbit,CodeRabbit,CodeRabbit,Global,GitHub / IDE integrations,Software Engineering / Review Agent,Secondary,C,"High influence in PR/code-review automation, but the core workflow is closer to review than to the complete task-to-code coding agent loop",Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md. Phase 3 11 keeps CodeRabbit as a review / repo-intelligence / quality agent rather than a core coding agent,C,Unknown,2026-08-31,S117,P1;P3,"Phase 1 4.2 #35. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-036,Qodo,Qodo,Qodo,Global,GitHub / IDE / CI,Software Engineering / Review Agent,Secondary,C,"Testing, review and repo-quality agents are representative but not the most typical task-to-code-to-execute main chain",Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md. Phase 3 11 keeps Qodo as a review / repo-intelligence / quality agent rather than a core coding agent,C,Unknown,2026-08-31,S117;S118,P1;P3,"Phase 1 4.2 #36. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-037,DeepSeek Reasonix,DeepSeek Reasonix,DeepSeek,China + Global-facing,,,Watchlist,B,"Current signal: new coding agent. Why watch: the official API already offers a terminal coding agent while the ecosystem, standalone product scale and long-term route remain early",Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,B,Unknown,2026-08-31,S114,P1,"Phase 1 4.3 #37. Phase 1 4.3 records no product-surface or agentic-level field for Watchlist candidates. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-038,Lovable,Lovable,Lovable,Global,,,Watchlist,C,"Current signal: rapid app-builder / vibe-coding category. Why watch: emphasises an agentic workflow from natural language to a complete web product, but the boundary with traditional repo-centric SWE agents is clear",Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md. Phase 3 11 retains Lovable in the App Builder / adjacent category rather than the main Top 10 population,C,Unknown,2026-08-31,,P1;P3,"Phase 1 4.3 #38. No external source cited in Phase 1. Phase 1 4.3 records no product-surface or agentic-level field for Watchlist candidates. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-039,Plandex,Plandex,Plandex,Global,,,Watchlist,C,Current signal: long-task terminal agent. Why watch: the multi-step coding/planning route is conceptually representative but market scale is limited,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,C,Unknown,2026-08-31,S118;S120,P1,"Phase 1 4.3 #39. Phase 1 4.3 records no product-surface or agentic-level field for Watchlist candidates. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-040,Crush,Crush,Charm,Global,,,Watchlist,C,Current signal: terminal agent. Why watch: open-source terminal agent in a fast-moving ecosystem; influence and maturity still to be verified,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,C,Unknown,2026-08-31,S118,P1,"Phase 1 4.3 #40. Phase 1 4.3 records no product-surface or agentic-level field for Watchlist candidates. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
